timestamp,key marker

1508291752.8538527,8
1508291753.1510856,8
1508291753.4692404,1
1508291753.8004773,4
1508291756.0757647,4
1508291756.3199387,9
1508291756.639165,2
1508291756.8573208,3
1508291758.2563577,2
1508291758.6411812,4
1508291758.8213093,4
1508291758.9489024,1
1508291759.9949486,4
1508291760.231637,2
1508291760.7645125,8
1508291760.930132,2
1508291762.4013553,5
1508291762.5324485,0
1508291762.825659,5
1508291763.1089773,9
1508291764.6127517,8
1508291764.8473983,0
1508291765.204572,7
1508291765.399712,7
1508291766.5764832,4
1508291766.8256605,2
1508291767.0608475,9
1508291767.2629893,0
1508291768.3670566,3
1508291768.6419795,0
1508291768.895055,0
1508291769.1582432,9
1508291770.1935568,1
1508291770.4947531,6
1508291770.754229,1
1508291771.0249197,6
1508291772.0607843,5
1508291772.3425026,8
1508291772.5911787,9
1508291772.8413785,5
1508291773.8930452,5
1508291774.2157447,3
1508291774.5024123,6
1508291774.6950283,6
1508291775.8629868,5
1508291776.1239173,0
1508291776.6918468,3
1508291776.9685757,4
1508291777.920106,0
1508291778.093232,2
1508291778.2523625,2
1508291778.5277426,7
1508291780.011603,7
1508291780.2142563,7
1508291780.4278984,5
1508291780.5965195,7
1508291781.7071326,2
1508291781.8987665,4
1508291782.1079166,3
1508291782.3050585,9
1508291783.3519828,6
1508291783.5586588,6
1508291783.7758062,2
1508291783.944424,4
1508291785.3919723,2
1508291785.6146305,2
1508291785.917866,0
1508291786.8639576,8
1508291788.0999877,2
1508291788.4678407,9
1508291788.7560208,1
1508291789.0779407,6
1508291791.353337,4
1508291791.8591933,3
1508291792.5013804,6
1508291792.7730742,0
1508291793.8544054,9
1508291794.1828105,3
1508291794.5119586,1
1508291794.7426155,5
1508291796.0996006,3
1508291796.3989308,6
1508291796.8316226,8
1508291797.219938,6
1508291798.4836898,4
1508291798.6958404,4
1508291798.84797,8
1508291799.0921745,0
1508291801.268943,3
1508291801.5868044,6
1508291801.9665751,3
1508291802.5087457,6
1508291804.0035217,9
1508291804.2486463,5
1508291804.481035,7
1508291804.8537874,9
1508291806.091992,8
1508291806.4162264,0
1508291806.6954205,3
1508291807.2634323,5
1508291808.5227618,7
1508291808.7639325,8
1508291808.9965951,1
1508291809.1872308,8
1508291810.4325924,8
1508291810.805697,3
1508291811.0158482,7
1508291811.3603806,0
1508291812.3782153,9
1508291812.6549568,7
1508291812.9081366,7
1508291813.1037767,7
1508291814.253901,1
1508291814.469554,5
1508291814.6346529,5
1508291814.813281,1
1508291815.7010326,9
1508291815.918525,1
1508291816.0876274,1
1508291816.2777624,1
