timestamp,key marker
1508291859.887198,6
1508291860.6661577,3
1508291861.248673,6
1508291862.0042076,1
1508291864.1415966,7
1508291864.636512,1
1508291865.3952065,4
1508291866.1149888,9
1508291868.7679522,4
1508291869.4472585,4
1508291870.019832,4
1508291870.7003276,5
1508291872.4134905,1
1508291873.2036543,1
1508291874.113683,2
1508291875.0017984,7
1508291877.028712,8
1508291877.6764317,8
1508291878.3969936,0
1508291879.1771162,6
1508291881.2314005,0
1508291882.1050901,9
1508291882.9097908,2
1508291883.7528903,8
1508291885.6654398,4
1508291886.2908819,5
1508291886.853768,4
1508291887.4553928,5
1508291889.9042215,4
1508291890.6354887,7
1508291891.363251,2
1508291892.1832066,0
1508291893.935182,1
1508291894.5050733,6
1508291895.0343628,3
1508291895.8049192,6
1508291898.5173855,8
1508291899.2262886,5
1508291900.0245054,3
1508291901.18992,9
1508291903.1152465,3
1508291903.917304,4
1508291904.6388192,9
1508291905.5692866,8
1508291907.6209216,6
1508291908.3630226,9
1508291909.2624192,5
1508291910.406155,0
1508291912.8635612,5
1508291913.5340643,3
1508291914.4359663,3
1508291915.1029387,8
1508291917.0142379,3
1508291917.798878,1
1508291918.540818,8
1508291919.250322,2
1508291920.6740706,2
1508291921.5153046,5
1508291922.0981157,9
1508291922.9592857,6
1508291924.881488,0
1508291926.034755,8
1508291926.713281,4
1508291927.8857238,0
1508291930.114046,6
1508291931.2669249,4
1508291932.1676772,9
1508291933.1758418,1
1508291934.9910996,6
1508291935.9635103,5
1508291936.7010758,5
1508291937.3572042,6
1508291938.8767948,1
1508291939.7442026,4
1508291940.3825958,8
1508291941.005305,1
1508291942.9737003,6
1508291943.7475739,0
1508291944.7359576,6
1508291945.2705014,3
1508291947.4247081,3
1508291948.093579,5
1508291949.0903869,9
1508291949.5644312,0
1508291951.7820468,5
1508291952.6475,8
1508291953.519332,0
1508291954.2637975,2
1508291956.136533,3
1508291956.7628458,1
1508291957.5254116,2
1508291958.156542,1
1508291960.1962354,7
1508291961.1071954,0
1508291961.7241335,7
1508291962.2805336,2
1508291964.329049,3
1508291965.1369152,4
1508291965.7163236,7
1508291966.1368763,0
1508291968.286259,5
1508291968.962738,9
1508291969.602201,3
1508291970.3971827,9
1508291972.606023,1
1508291973.3671486,8
1508291974.1735427,9
1508291974.935328,9
1508291976.5606616,2
1508291977.2867007,0
1508291978.1574728,7
1508291978.8109605,7
1508291980.5144432,8
1508291981.2354555,7
1508291982.1202955,2
1508291982.737291,7
1508291985.0319166,7
1508291985.658978,7
1508291986.3244832,2
1508291987.0171683,2
