timestamp,key marker
1510194890.3752773,1
1510194891.8977141,6
1510194892.1413853,7
1510194893.4960265,0
1510194896.3044305,8
1510194896.4004974,7
1510194897.4753246,2
1510194897.790081,6
1510194900.3913999,8
1510194900.718601,1
1510194901.0883684,5
1510194901.3992298,1
1510194903.2551835,5
1510194904.3090198,3
1510194905.0780637,4
1510194905.3752952,8
1510194907.683359,7
1510194908.118363,2
1510194908.521458,4
1510194908.8030105,5
1510194910.6782594,4
1510194910.9339387,5
1510194911.1130984,5
1510194911.2581906,5
1510194912.8719342,2
1510194913.2822318,4
1510194913.6609957,1
1510194914.3495107,8
1510194916.047731,9
1510194917.3551128,7
1510194917.813438,4
1510194918.4293742,8
1510194920.4028032,2
1510194920.7037313,3
1510194920.9509795,1
1510194922.0497594,7
1510194924.5455828,3
1510194925.0304277,9
1510194925.6158435,6
1510194925.797972,7
1510194927.9298315,6
1510194928.277576,4
1510194929.4023883,7
1510194929.9967988,6
1510194932.5311372,2
1510194932.73978,1
1510194933.0339887,2
1510194933.8861115,8
1510194937.8867373,0
1510194938.9741137,6
1510194940.0298908,7
1510194940.4506023,1
1510194942.2236974,1
1510194942.4888868,0
1510194942.9376209,6
1510194943.315361,2
1510194946.3122275,7
1510194946.5263562,7
1510194947.17134,5
1510194947.5761435,3
1510194949.818555,3
1510194950.8618135,6
1510194951.1875427,6
1510194951.7479422,9
1510194954.3568304,2
1510194955.5510197,6
1510194956.9605734,9
1510194957.3470254,9
1510194960.3086746,6
1510194960.71396,1
1510194961.4795015,0
1510194961.760206,1
1510194963.5325341,3
1510194963.8307652,8
1510194964.4676993,1
1510194964.8095102,8
1510194967.6641636,5
1510194967.879338,6
1510194968.4372675,2
1510194969.106244,9
1510194970.550794,3
1510194971.0616815,3
1510194971.969406,1
1510194974.0016649,5
1510194976.3187847,2
1510194976.4468546,0
1510194978.9661381,5
1510194979.153278,7
1510194981.0705247,4
1510194981.3562226,3
1510194982.4540005,8
1510194982.9078414,5
1510194985.097253,3
1510194985.4308882,5
1510194986.2349317,0
1510194986.880814,7
1510194988.8081715,4
1510194989.3665674,0
1510194989.6438744,0
1510194990.6405838,2
1510194992.9969034,9
1510194994.2418053,2
1510194994.5795398,3
1510194995.0657346,3
1510195001.376033,0
1510195001.986469,8
1510195009.2911973,8
1510195009.5243597,0
1510195016.4504223,4
1510195016.8317106,9
1510195017.269515,4
1510195019.0140743,0
1510195022.3104112,8
1510195022.4680047,9
1510195022.63312,9
1510195024.336068,4
1510195026.8296266,4
1510195027.030872,9
1510195027.197472,9
1510195027.275525,0
