timestamp,TP9,AF7,AF8,TP10,Right AUX
1510191287958.1294,0.0,-968.26171875,999.51171875,174.8046875,38.57421875
1510191287962.0356,-4.8828125,964.35546875,999.51171875,50.78125,42.48046875
1510191287965.942,-13.671875,922.36328125,999.51171875,-21.484375,28.80859375
1510191287969.8481,5.37109375,987.3046875,999.51171875,100.5859375,33.69140625
1510191287973.7544,0.0,-986.328125,999.51171875,211.42578125,68.84765625
1510191287977.6606,4.39453125,984.375,999.51171875,85.44921875,57.6171875
1510191287981.567,18.5546875,898.4375,999.51171875,-10.25390625,29.296875
1510191287985.4731,24.4140625,967.28515625,999.51171875,65.91796875,62.5
1510191287989.3794,11.71875,-986.81640625,999.51171875,172.8515625,66.89453125
1510191287993.2856,23.4375,992.67578125,999.51171875,159.66796875,9.765625
1510191287997.192,15.625,-999.0234375,999.51171875,21.97265625,-33.203125
1510191288001.0981,9.27734375,999.51171875,999.51171875,-9.765625,-41.015625
1510191288018.1694,26.3671875,999.51171875,999.51171875,141.11328125,15.13671875
1510191288022.0757,35.64453125,999.51171875,999.51171875,179.19921875,35.15625
1510191288025.982,39.0625,999.51171875,999.51171875,28.80859375,26.85546875
1510191288029.8882,36.1328125,999.51171875,999.51171875,-23.4375,20.5078125
1510191288033.7944,22.4609375,999.51171875,999.51171875,103.02734375,58.10546875
1510191288037.7007,37.109375,999.51171875,999.51171875,193.359375,104.98046875
1510191288041.607,80.078125,999.51171875,999.51171875,81.54296875,63.96484375
1510191288045.5132,59.08203125,999.51171875,999.51171875,-40.0390625,37.109375
1510191288049.4194,36.1328125,999.51171875,999.51171875,37.59765625,42.48046875
1510191288053.3257,67.87109375,999.51171875,999.51171875,171.38671875,60.546875
1510191288057.232,48.33984375,999.51171875,999.51171875,90.8203125,55.17578125
1510191288061.1382,3.41796875,999.51171875,999.51171875,-23.4375,-18.5546875
1510191288062.7026,23.92578125,999.51171875,999.51171875,7.32421875,-18.5546875
1510191288066.609,34.66796875,999.51171875,999.51171875,144.04296875,20.01953125
1510191288070.5151,2.9296875,999.51171875,999.51171875,138.18359375,21.97265625
1510191288074.4214,10.7421875,999.51171875,999.51171875,-18.5546875,58.59375
1510191288078.3276,21.97265625,999.51171875,999.51171875,-64.94140625,34.66796875
1510191288082.234,12.20703125,999.51171875,999.51171875,85.9375,-42.96875
1510191288086.1401,22.94921875,999.51171875,999.51171875,126.46484375,-41.015625
1510191288090.0464,12.6953125,999.51171875,999.51171875,-32.71484375,-28.3203125
1510191288093.9526,-0.48828125,999.51171875,999.51171875,-94.7265625,51.7578125
1510191288097.859,28.80859375,999.51171875,999.51171875,19.53125,65.91796875
1510191288101.7651,69.82421875,999.51171875,999.51171875,128.41796875,-8.30078125
1510191288105.6714,26.3671875,999.51171875,999.51171875,24.90234375,4.8828125
1510191288107.7344,-8.7890625,999.51171875,999.51171875,-83.0078125,13.18359375
1510191288111.6406,1.953125,999.51171875,999.51171875,-8.7890625,0.0
1510191288115.5469,26.3671875,999.51171875,999.51171875,117.67578125,-9.765625
1510191288119.4531,50.29296875,999.51171875,999.51171875,55.17578125,3.41796875
1510191288123.3594,15.13671875,999.51171875,999.51171875,-100.5859375,11.23046875
1510191288127.2656,9.765625,-1000.0,999.51171875,-85.9375,32.71484375
1510191288131.1719,23.92578125,990.72265625,999.51171875,78.61328125,50.78125
1510191288135.0781,-1.953125,-974.12109375,999.51171875,108.88671875,13.671875
1510191288138.9844,-15.625,886.71875,999.51171875,-37.59765625,30.76171875
1510191288142.8906,-27.34375,843.75,999.51171875,-92.28515625,59.5703125
1510191288146.7969,13.671875,-991.69921875,999.51171875,66.40625,15.625
1510191288150.7031,32.71484375,-1000.0,999.51171875,133.30078125,20.5078125
1510191288152.786,-28.80859375,976.5625,999.51171875,-1.953125,52.734375
1510191288156.6921,-50.78125,755.859375,999.51171875,-90.8203125,19.04296875
1510191288160.5984,-10.7421875,708.49609375,999.51171875,-8.7890625,-10.7421875
1510191288164.5046,11.23046875,825.68359375,999.51171875,105.46875,36.1328125
1510191288168.411,16.6015625,613.76953125,999.51171875,22.94921875,46.875
1510191288172.3171,39.0625,156.73828125,999.51171875,-83.984375,21.484375
1510191288176.2234,27.83203125,94.7265625,999.51171875,-27.83203125,21.484375
1510191288180.1296,9.27734375,309.08203125,999.51171875,86.42578125,20.99609375
1510191288184.036,10.7421875,75.68359375,999.51171875,32.71484375,25.390625
1510191288187.9421,11.23046875,-25.390625,999.51171875,-104.98046875,49.8046875
1510191288191.8484,-16.11328125,-166.9921875,999.51171875,-83.49609375,23.4375
1510191288195.7546,-36.62109375,-134.765625,999.51171875,70.80078125,6.8359375
1510191288197.797,-0.48828125,69.3359375,999.51171875,77.1484375,-0.48828125
1510191288201.7034,24.90234375,-133.7890625,999.51171875,-70.80078125,-1.46484375
1510191288205.6096,7.32421875,-468.75,999.51171875,-67.87109375,-7.8125
1510191288209.5159,14.16015625,-414.0625,999.51171875,54.6875,34.66796875
1510191288213.422,-28.80859375,-122.0703125,999.51171875,95.703125,91.796875
1510191288217.3284,-32.2265625,-381.8359375,999.51171875,-10.25390625,65.91796875
