timestamp,key marker

1530859468.20745,4
1530859468.7021263,7
1530859469.1808467,3
1530859469.7089508,1
1530859471.1261723,8
1530859471.612871,3
1530859472.4910402,2
1530859472.9348671,5
1530859474.2034986,8
1530859474.5166612,2
1530859474.7091458,2
1530859475.05921,1
1530859476.5223193,3
1530859477.3192122,5
1530859478.2477288,8
1530859478.6132576,5
1530859482.1703007,3
1530859482.6968925,8
1530859483.141221,2
1530859483.4997687,0
1530859485.2879977,2
1530859485.777688,4
1530859486.4593825,6
1530859486.8154314,8
1530859488.0900354,4
1530859488.46204,4
1530859488.7921576,2
1530859489.0823805,4
1530859490.393885,4
1530859491.2426286,3
1530859491.7801907,2
1530859492.0195508,0
1530859493.4308016,4
1530859493.7973466,2
1530859494.279558,7
1530859494.642587,0
1530859495.6898088,3
1530859496.176508,1
1530859496.7041094,2
1530859497.035728,4
1530859498.542215,5
1530859498.7995381,9
1530859499.2822492,5
1530859499.8253028,2
1530859501.003175,2
1530859501.9875417,7
1530859503.1185422,4
1530859503.2511868,1
1530859504.4689546,2
1530859504.6863735,9
1530859504.9476738,2
1530859505.2409096,5
1530859507.1867456,7
1530859507.5587497,5
1530859507.936739,9
1530859508.4743257,4
1530859510.2236705,9
1530859510.6375635,4
1530859511.1496987,1
1530859511.4140058,8
1530859512.4477463,0
1530859512.65769,3
1530859512.9853323,1
1530859513.1748254,8
1530859514.4484425,4
1530859514.678826,1
1530859515.4592447,8
1530859515.6248024,8
1530859516.8625035,5
1530859517.378149,5
1530859517.6603937,0
1530859517.9546065,1
1530859519.2461653,7
1530859519.4825318,2
1530859519.866505,0
1530859520.1307976,5
1530859521.556507,2
1530859521.8821554,4
1530859522.219254,0
1530859522.8924532,2
1530859523.8783355,0
1530859524.236378,6
1530859524.4906983,0
1530859525.1669006,5
1530859526.6309972,7
1530859527.2383723,5
1530859527.4657645,5
1530859527.8711998,6
1530859529.0106578,1
1530859529.302876,4
1530859529.642979,0
1530859529.8274844,0
1530859531.2337954,5
1530859531.5369346,5
1530859531.8820114,5
1530859532.1313443,0
1530859533.1137307,3
1530859533.3540854,0
1530859533.529616,0
1530859534.4252446,5
1530859535.9023201,5
1530859536.201521,8
1530859536.951036,3
1530859537.1759388,2
1530859538.459025,6
1530859538.6958978,0
1530859539.080868,2
1530859539.3052685,5
1530859540.5728924,2
1530859540.9219584,3
1530859542.0664155,2
1530859542.274858,4
1530859544.3782423,8
1530859545.3476605,6
1530859545.5860233,7
1530859545.790476,1
1530859547.2625504,7
1530859547.6490352,9
1530859548.1452146,3
1530859548.40452,9
1530859549.6192966,0
1530859549.892565,8
1530859550.3553264,4
1530859550.647066,0
1530859552.8576856,8
1530859553.192789,5
1530859553.4680524,0
1530859553.596708,1
1530859554.5830815,3
1530859554.8074815,3
1530859555.0054603,0
1530859555.5973935,4
1530859557.4704092,8
1530859557.9765613,6
1530859558.373021,3
1530859558.5714903,3
1530859559.7732997,6
1530859560.0126603,6
1530859560.2669792,6
1530859560.550222,1
1530859561.7829394,0
1530859562.0821395,6
1530859562.3893173,1
1530859562.5927734,1
1530859564.024464,8
1530859564.4473462,6
1530859564.9410255,8
1530859565.2870994,1
1530859566.95166,4
1530859567.263838,6
1530859568.4127753,9
1530859568.9962397,8
1530859570.7076855,3
1530859570.8812213,3
1530859571.3609378,1
1530859571.636706,7
1530859573.1845918,4
1530859574.3450072,6
1530859574.655682,4
1530859574.8830874,8
1530859576.5711067,7
1530859577.0199063,9
1530859577.3290787,3
1530859577.8861086,7
1530859578.9976423,1
1530859579.453939,1
1530859579.7102528,8
1530859579.8628442,8
1530859581.53739,7
1530859582.798045,6
1530859583.099239,9
1530859583.417388,1
1530859584.7254238,3
1530859585.0799804,7
1530859585.4395244,1
1530859586.14763,6
1530859587.5823216,9
1530859587.782292,9
1530859588.169762,6
1530859588.359268,6
1530859589.8473005,6
1530859590.4187717,3
1530859590.6691024,9
1530859590.8241925,9
1530859592.2708542,6
1530859592.4753077,6
1530859592.659814,9
1530859592.804427,9
1530859594.6460307,7
1530859594.8380227,7
1530859595.1412117,9
1530859595.5521128,7
1530859597.081551,9
1530859597.2700474,9
1530859597.6006687,7
1530859597.8699608,7
1530859600.095545,9
1530859600.270079,9
1530859600.619145,7
1530859600.9228399,7
