timestamp,TP9,AF7,AF8,TP10,Right AUX

1510176727367.665,-68.359375,-970.21484375,-2.44140625,-27.83203125,-22.4609375
1510176727371.5713,-89.35546875,-970.21484375,29.78515625,148.4375,8.30078125
1510176727375.4775,-92.28515625,-970.21484375,3.90625,26.3671875,-62.01171875
1510176727379.3838,-105.95703125,-970.21484375,-19.53125,-163.57421875,-66.89453125
1510176727383.29,-133.30078125,-970.21484375,-4.39453125,-105.46875,-2.9296875
1510176727387.1963,-111.328125,-970.21484375,14.16015625,123.046875,3.90625
1510176727391.1025,-53.22265625,-970.21484375,8.30078125,105.95703125,40.52734375
1510176727395.0088,-23.4375,-970.21484375,-24.90234375,-78.61328125,38.57421875
1510176727398.915,-21.484375,-970.21484375,-37.109375,-76.171875,23.4375
1510176727402.8213,-41.9921875,-970.21484375,6.8359375,123.046875,77.1484375
1510176727406.7275,-35.15625,-970.21484375,20.01953125,162.109375,41.015625
1510176727410.6338,-37.109375,-970.21484375,-24.90234375,-12.20703125,-21.484375
1510176727412.6973,-68.359375,-970.21484375,-40.0390625,-67.3828125,-1.953125
1510176727416.6035,-31.73828125,-970.21484375,-11.23046875,109.86328125,-32.71484375
1510176727420.5098,18.06640625,-970.21484375,4.39453125,224.609375,-23.92578125
1510176727424.416,32.71484375,-969.7265625,-30.76171875,61.03515625,25.390625
1510176727428.3223,19.53125,-970.21484375,-56.15234375,-68.84765625,-50.29296875
1510176727432.2285,0.9765625,-971.19140625,-29.78515625,86.42578125,-31.25
1510176727436.1348,9.765625,-960.44921875,8.7890625,273.4375,63.4765625
1510176727440.041,17.578125,-963.37890625,-20.01953125,162.59765625,15.13671875
1510176727443.9473,-2.9296875,-970.703125,-58.10546875,-13.671875,-24.90234375
1510176727447.8535,-12.20703125,-974.609375,-31.25,37.59765625,12.20703125
1510176727451.7598,10.7421875,-946.77734375,2.9296875,230.46875,24.90234375
1510176727455.666,24.4140625,-942.87109375,-7.8125,229.00390625,-34.66796875
1510176727457.7295,42.96875,-971.19140625,-33.69140625,50.78125,-18.06640625
1510176727461.6357,56.15234375,-978.02734375,-30.2734375,14.16015625,6.8359375
1510176727465.542,46.875,-939.453125,2.44140625,212.40234375,-13.18359375
1510176727469.4482,35.15625,-926.7578125,11.23046875,304.19921875,0.48828125
1510176727473.3545,15.625,-974.12109375,-18.5546875,127.44140625,-5.37109375
1510176727477.2607,27.34375,-972.16796875,-30.76171875,4.8828125,26.3671875
1510176727481.167,19.53125,-961.42578125,-3.90625,158.69140625,37.109375
1510176727485.0732,8.7890625,-959.9609375,8.30078125,303.22265625,32.2265625
1510176727488.9795,43.45703125,-971.19140625,-9.765625,154.296875,9.27734375
1510176727492.8857,43.9453125,-970.21484375,-8.7890625,0.9765625,10.25390625
1510176727496.792,35.15625,-969.7265625,14.16015625,108.3984375,71.77734375
1510176727500.6982,10.25390625,-970.21484375,36.62109375,283.69140625,84.47265625
1510176727502.2622,-3.41796875,-970.703125,30.76171875,174.31640625,-15.13671875
1510176727506.1685,-22.94921875,-967.28515625,15.625,-32.71484375,-28.80859375
1510176727510.0747,-37.109375,-977.05078125,16.6015625,-3.41796875,28.80859375
1510176727513.981,-36.62109375,-948.2421875,41.50390625,180.17578125,22.4609375
1510176727517.8872,-32.2265625,-928.7109375,53.22265625,164.55078125,47.8515625
1510176727521.7935,-43.9453125,-965.8203125,27.83203125,-37.109375,68.359375
1510176727525.6997,-79.58984375,-979.4921875,14.6484375,-95.703125,79.58984375
1510176727529.606,-78.61328125,-949.70703125,39.0625,97.16796875,91.30859375
1510176727533.5122,-32.71484375,-876.953125,60.05859375,189.453125,56.640625
1510176727537.4185,-8.7890625,-932.6171875,22.94921875,16.6015625,1.953125
1510176727541.3247,-20.01953125,-979.98046875,-11.71875,-98.6328125,-28.80859375
1510176727545.231,-9.27734375,-970.21484375,9.27734375,49.31640625,-10.7421875
1510176727547.3127,7.8125,-871.58203125,31.73828125,221.19140625,-35.15625
1510176727551.219,22.94921875,-877.44140625,4.8828125,121.58203125,1.953125
1510176727555.1252,23.92578125,-977.5390625,-23.92578125,-34.66796875,26.85546875
1510176727559.0315,29.78515625,-986.328125,-10.25390625,47.36328125,-5.37109375
1510176727562.9377,57.12890625,-822.75390625,19.04296875,250.9765625,23.4375
1510176727566.844,62.01171875,-838.8671875,-2.44140625,211.9140625,38.0859375
1510176727570.7502,41.50390625,-980.46875,-47.8515625,24.4140625,0.0
1510176727574.6565,23.92578125,-995.60546875,-43.9453125,6.34765625,-11.23046875
1510176727578.5627,60.05859375,-850.5859375,1.953125,206.0546875,45.8984375
1510176727582.469,111.328125,-744.140625,-1.46484375,274.4140625,79.1015625
1510176727586.3752,102.5390625,-951.171875,-43.45703125,84.9609375,18.5546875
1510176727590.2815,88.37890625,-993.65234375,-48.33984375,-0.9765625,-12.6953125
1510176727607.356,73.73046875,-928.22265625,-19.04296875,180.6640625,-45.8984375
1510176727611.2622,81.54296875,-870.1171875,-4.39453125,285.64453125,0.0
1510176727615.1685,80.078125,-955.078125,-30.76171875,113.76953125,7.32421875
1510176727619.0747,60.546875,-979.4921875,-47.36328125,-22.4609375,-53.22265625
1510176727622.981,84.9609375,-964.35546875,-25.390625,99.12109375,-34.1796875
1510176727626.8872,78.61328125,-971.6796875,-8.7890625,252.44140625,46.38671875
1510176727630.7935,69.3359375,-970.21484375,-31.73828125,129.8828125,63.4765625
1510176727634.6997,104.00390625,-969.7265625,-50.29296875,-17.578125,24.90234375
1510176727638.606,122.0703125,-971.19140625,-34.66796875,59.08203125,-7.32421875
1510176727642.5122,90.8203125,-968.75,3.41796875,237.3046875,-10.7421875
1510176727646.4185,66.40625,-962.890625,4.39453125,199.70703125,29.78515625
1510176727650.3247,82.51953125,-966.30859375,-31.73828125,10.25390625,-32.2265625
1510176727652.3867,87.890625,-976.5625,-34.1796875,-18.5546875,-59.5703125
1510176727656.293,60.05859375,-953.61328125,3.41796875,192.87109375,45.8984375
1510176727660.1992,25.87890625,-936.5234375,11.71875,240.234375,27.34375
1510176727664.1055,49.8046875,-970.703125,-22.94921875,0.48828125,1.46484375
1510176727668.0117,75.1953125,-971.6796875,-46.875,-84.47265625,0.0
1510176727671.918,89.84375,-968.75,-18.06640625,113.76953125,-13.18359375
1510176727675.8242,90.8203125,-970.21484375,12.20703125,226.07421875,39.55078125
1510176727679.7305,71.2890625,-970.21484375,-9.765625,55.17578125,34.1796875
1510176727683.6367,80.56640625,-970.21484375,-35.15625,-70.80078125,-28.3203125
1510176727687.543,92.7734375,-970.21484375,-26.3671875,56.640625,-29.78515625
1510176727691.4492,99.12109375,-969.7265625,5.37109375,241.69921875,4.8828125
1510176727695.3555,86.9140625,-970.21484375,-3.41796875,138.18359375,47.8515625
1510176727712.4297,57.12890625,-970.21484375,-39.0625,-52.24609375,53.22265625
1510176727716.336,37.109375,-970.21484375,-30.76171875,-8.30078125,33.69140625
1510176727720.2422,31.25,-970.21484375,9.765625,170.41015625,43.45703125
1510176727724.1484,66.89453125,-970.21484375,7.8125,161.62109375,70.80078125
1510176727728.0547,87.890625,-970.21484375,-41.50390625,-22.94921875,41.50390625
1510176727731.961,79.58984375,-970.21484375,-52.24609375,-64.453125,-20.01953125
1510176727735.8672,84.9609375,-970.21484375,-5.859375,131.8359375,54.6875
1510176727739.7734,82.51953125,-970.21484375,7.8125,207.51953125,57.6171875
1510176727743.6797,87.890625,-970.21484375,-37.59765625,11.23046875,1.46484375
1510176727747.586,83.49609375,-970.21484375,-49.31640625,-94.23828125,9.27734375
1510176727751.4922,14.6484375,-970.21484375,-2.9296875,75.1953125,-7.8125
1510176727755.3984,0.0,-970.21484375,14.6484375,228.02734375,18.06640625
1510176727742.4497,64.453125,-970.21484375,-17.578125,89.35546875,17.578125
1510176727746.356,89.84375,-970.21484375,-32.2265625,-84.47265625,-12.20703125
1510176727750.2622,73.2421875,-970.21484375,-8.7890625,25.87890625,7.32421875
1510176727754.1685,69.3359375,-970.21484375,18.5546875,232.421875,54.19921875
1510176727758.0747,78.125,-970.21484375,-1.46484375,146.484375,16.6015625
1510176727761.981,60.546875,-970.21484375,-35.15625,-44.921875,-32.71484375
1510176727765.8872,42.48046875,-970.21484375,-20.99609375,-23.4375,-29.78515625
1510176727769.7935,47.8515625,-970.21484375,13.671875,186.03515625,-31.73828125
1510176727773.6997,62.01171875,-970.21484375,12.20703125,208.49609375,-41.9921875
1510176727777.606,67.87109375,-970.21484375,-13.671875,15.13671875,-51.26953125
1510176727781.5122,47.36328125,-970.21484375,-18.06640625,-42.48046875,-41.015625
1510176727785.4185,25.87890625,-970.21484375,15.625,147.4609375,12.6953125
1510176727787.4849,34.66796875,-970.21484375,19.53125,234.375,35.64453125
1510176727791.391,39.55078125,-970.21484375,-2.44140625,34.66796875,5.859375
1510176727795.2974,59.5703125,-970.21484375,-16.11328125,-90.8203125,15.625
1510176727799.2036,65.4296875,-970.21484375,-6.8359375,59.5703125,-18.06640625
1510176727803.1099,40.0390625,-970.21484375,23.4375,206.0546875,-45.8984375
1510176727807.016,36.62109375,-970.21484375,2.9296875,78.125,41.015625
1510176727810.9224,46.875,-970.21484375,-27.83203125,-72.75390625,5.859375
1510176727814.8286,41.9921875,-970.21484375,-19.53125,2.44140625,-43.45703125
1510176727818.7349,20.99609375,-970.21484375,11.71875,195.80078125,-35.64453125
1510176727822.641,41.015625,-970.21484375,22.4609375,146.97265625,-12.6953125
1510176727826.5474,45.41015625,-970.21484375,-7.32421875,-27.34375,-7.8125
1510176727830.4536,22.94921875,-970.21484375,-15.13671875,-37.59765625,-17.08984375
1510176727832.5134,33.203125,-970.21484375,18.06640625,155.2734375,-0.9765625
1510176727836.4197,49.31640625,-970.21484375,24.90234375,209.9609375,-2.9296875
